iter	RMSE
0	160.9602164
1	158.6711591
2	157.0426725
3	154.9180313
4	153.107424
5	151.4076364
6	149.6053493
7	147.8631981
8	146.0260519
9	143.9918181
10	142.1085325
11	140.3831086
12	138.7425035
13	137.1107593
14	135.8264402
15	134.1996126
16	132.4058412
17	130.7124507
18	129.3898786
19	128.0952768
20	126.8099657
21	125.357721
22	124.0879978
23	122.630539
24	121.0898622
25	119.4902358
26	118.0596887
27	116.8073455
28	115.5277256
29	114.0584303
30	112.6978232
31	111.4845252
32	110.43675
33	109.2081621
34	107.965587
35	106.7873607
36	105.5602877
37	104.2452683
38	102.9441849
39	101.8312305
40	100.6610805
41	99.65786036
42	98.89942888
43	97.87181073
44	96.93985703
45	95.72328269
46	94.84990021
47	93.92116528
48	93.16167105
49	92.24609634
50	91.14808082
51	90.35339516
52	89.57994031
53	88.83107118
54	88.04775511
55	87.11002109
56	86.20426368
57	85.22691778
58	84.47027087
59	83.66380703
60	82.63441249
61	81.82648946
62	80.94954234
63	80.20774339
64	79.41647934
65	78.62711002
66	77.93370386
67	77.22435876
68	76.41674375
69	75.7778017
70	75.15612343
71	74.2574833
72	73.47803663
73	72.76641787
74	71.98215858
75	71.30544565
76	70.66930616
77	70.1458087
78	69.34275567
79	68.63153641
80	67.94313897
81	67.27250179
82	66.56363959
83	65.84742704
84	65.14996279
85	64.66981912
86	63.9805983
87	63.42024096
88	62.81472202
89	62.119882
90	61.47269469
91	60.94172147
92	60.39236901
93	59.91064219
94	59.25375758
95	58.64067172
96	58.06099941
97	57.47263747
98	56.87366363
99	56.34905116
100	55.89043165
101	55.3824863
102	54.9875837
103	54.43911693
104	53.91123772
105	53.41046349
106	52.95000629
107	52.38911855
108	51.89159192
109	51.43313096
110	50.89457362
111	50.40137779
112	49.94426518
113	49.52320788
114	49.16427495
115	48.77470691
116	48.32621977
117	47.91718355
118	47.45402996
119	47.07362288
120	46.72254841
121	46.30547797
122	45.92662138
123	45.46908185
124	45.08860328
125	44.69749517
126	44.29475294
127	43.91620331
128	43.51884164
129	43.1307216
130	42.77543534
131	42.36400424
132	41.96637646
133	41.63005451
134	41.27607075
135	40.93073056
136	40.57432302
137	40.3073528
138	39.96813231
139	39.66962822
140	39.39294268
141	39.07901093
142	38.76436745
143	38.47863284
144	38.19399672
145	37.90810254
146	37.66642259
147	37.30989306
148	37.00635664
149	36.69667002
150	36.44178536
151	36.19264883
152	35.92820235
153	35.61784215
154	35.29646911
155	35.0318225
156	34.72988983
157	34.4869074
158	34.27836291
159	33.95791223
160	33.73118067
161	33.45649366
162	33.18731003
163	32.93995119
164	32.66107996
165	32.45209142
166	32.19791303
167	31.90808136
168	31.67057973
169	31.40473137
170	31.14210846
171	30.89284211
172	30.63131653
173	30.38407363
174	30.15746908
175	29.9142907
176	29.68185661
177	29.46732744
178	29.27244706
179	29.03167739
180	28.85143437
181	28.64463492
182	28.45017607
183	28.22349396
184	28.07715258
185	27.89099732
186	27.69131736
187	27.50131456
188	27.29273566
189	27.14061021
190	26.94034152
191	26.76788766
192	26.58702119
193	26.43761832
194	26.23783159
195	26.07290571
196	25.90421671
197	25.76547103
198	25.58095103
199	25.40514628
200	25.25158046
201	25.08849203
202	24.89489575
203	24.7352282
204	24.57514114
205	24.39573233
206	24.2344962
207	24.07625969
208	23.92711813
